host_ts,device_ts_s,tof_mm,ax,ay,az,gx,gy,gz
2026-02-13T01:44:08.196496,187.020,443.00,-0.1873,0.0164,-0.9788,-1.5869,-1.5869,1.2207
2026-02-13T01:44:08.346608,187.170,441.00,-0.1884,-0.0070,-0.9738,-0.9766,2.1973,-0.5493
2026-02-13T01:44:08.496362,187.320,440.00,-0.1766,0.0264,-1.0225,-3.9062,3.3569,1.3428
2026-02-13T01:44:08.646435,187.470,440.00,-0.2025,-0.0010,-0.9803,-2.5024,1.9531,1.5259
2026-02-13T01:44:08.796443,187.620,443.00,-0.2000,-0.0103,-0.8997,-0.0610,2.8076,-1.7700
2026-02-13T01:44:08.946454,187.770,442.00,-0.1802,0.0299,-0.9718,3.1128,-0.3662,-0.9155
2026-02-13T01:44:09.096122,187.920,439.00,-0.1982,0.0154,-0.9771,0.3662,-1.5869,0.4883
2026-02-13T01:44:09.246407,188.070,441.00,-0.2052,0.0087,-0.9613,-1.3428,-1.5259,0.1831
2026-02-13T01:44:09.396253,188.220,436.00,-0.1782,0.0238,-0.9786,-2.0142,-1.5259,-0.5493
2026-02-13T01:44:09.546655,188.370,435.00,-0.1793,0.0118,-0.9501,-1.3428,-0.7324,-0.5493
2026-02-13T01:44:09.696561,188.520,435.00,-0.1863,0.0409,-1.0190,2.5024,-2.3193,-2.1973
2026-02-13T01:44:09.846528,188.670,436.00,-0.1799,0.0397,-0.9650,-1.0376,3.7231,-1.3428
2026-02-13T01:44:09.996443,188.820,436.00,-0.1799,0.0035,-0.9401,2.0752,-1.7090,1.0986
2026-02-13T01:44:10.146333,188.970,430.00,-0.1989,0.0233,-0.9186,0.2441,0.3662,-0.9766
2026-02-13T01:44:10.296513,189.120,433.00,-0.1921,0.0023,-0.9846,-2.9907,-0.8545,1.2207
2026-02-13T01:44:10.446366,189.270,434.00,-0.1765,0.0159,-0.9817,0.4272,2.4414,-0.4272
2026-02-13T01:44:10.596192,189.420,433.00,-0.2054,0.0422,-0.9376,-2.5024,2.0142,0.4272
2026-02-13T01:44:10.746194,189.570,433.00,-0.1895,0.0726,-0.9602,0.7935,2.6855,0.3052
2026-02-13T01:44:10.896343,189.720,432.00,-0.1904,0.0312,-0.9604,0.6714,5.2490,-1.4038
2026-02-13T01:44:11.046501,189.870,435.00,-0.2261,0.0372,-0.9705,-1.4648,2.4414,0.3052
2026-02-13T01:44:11.196184,190.020,435.00,-0.2275,0.0532,-0.9368,-0.7935,2.1362,0.3052
2026-02-13T01:44:11.346485,190.170,433.00,-0.1935,0.0107,-0.9789,-0.4272,-0.4883,-0.3052
2026-02-13T01:44:11.496297,190.320,434.00,-0.1879,0.0641,-1.0044,-1.1597,-3.2349,1.8311
2026-02-13T01:44:11.646315,190.470,436.00,-0.1891,0.0127,-0.9764,-1.7700,1.6479,0.0000
2026-02-13T01:44:11.796578,190.620,433.00,-0.2020,-0.0032,-0.9440,-3.2959,-1.4038,1.8921
2026-02-13T01:44:11.946303,190.770,434.00,-0.1923,0.0309,-0.9514,0.8545,-3.0518,-0.6714
2026-02-13T01:44:12.096084,190.920,430.00,-0.2037,0.0669,-1.0138,3.6621,-3.9673,-0.4272
2026-02-13T01:44:12.246283,191.070,430.00,-0.1534,0.0333,-0.9847,-4.6997,-0.5493,0.0610
2026-02-13T01:44:12.396275,191.220,429.00,-0.1710,0.0493,-0.9448,-1.1597,2.2583,1.2207
2026-02-13T01:44:12.546472,191.370,428.00,-0.1621,0.0208,-0.9752,6.0425,-4.3945,-2.6245
2026-02-13T01:44:12.696344,191.520,425.00,-0.1936,0.0153,-0.8892,-0.0610,0.8545,-0.0610
2026-02-13T01:44:12.846447,191.670,425.00,-0.1320,0.0187,-0.9742,1.5869,-0.6714,-0.9766
2026-02-13T01:44:12.996171,191.820,424.00,-0.1592,0.0406,-0.9830,-3.9673,3.4180,2.7466
2026-02-13T01:44:13.146288,191.970,420.00,-0.1715,0.0192,-0.9294,-3.0518,1.0376,1.6479
2026-02-13T01:44:13.296275,192.120,418.00,-0.1298,0.0500,-0.8730,-6.7749,9.2163,3.5400
2026-02-13T01:44:13.446651,192.270,399.00,-0.1802,-0.0048,-0.7666,-0.5493,28.6865,-2.0142
2026-02-13T01:44:13.596174,192.420,373.00,-0.2805,-0.0199,-0.8309,-3.8452,39.6118,0.0610
2026-02-13T01:44:13.746159,192.570,307.00,-0.3849,-0.0647,-0.8718,-5.5542,40.8325,1.9531
2026-02-13T01:44:13.896122,192.720,258.00,-0.5438,-0.0343,-1.0239,-13.1836,35.2173,4.1504
2026-02-13T01:44:14.046163,192.870,92.00,-0.6532,-0.0386,-0.8826,-12.8784,24.0478,6.2866
2026-02-13T01:44:14.196066,193.020,70.00,-0.6080,-0.0286,-0.7452,5.3101,1.2207,-0.7324
2026-02-13T01:44:14.346046,193.170,93.00,-0.8330,0.0704,-1.0291,-1.1597,-10.8032,-6.5918
2026-02-13T01:44:14.496719,193.320,90.00,-0.7037,-0.1085,-0.9541,2.9907,-24.5972,-0.7324
2026-02-13T01:44:14.646562,193.470,75.00,-0.5122,-0.0159,-0.8367,-0.2441,-17.9443,5.3711
2026-02-13T01:44:14.796486,193.620,80.00,-0.3849,-0.0691,-0.8197,5.8594,-19.4702,0.5493
2026-02-13T01:44:14.946070,193.770,88.00,-0.3213,0.1055,-0.3134,10.0708,-27.3437,-7.1411
2026-02-13T01:44:15.096416,193.920,312.00,-0.3708,-0.1378,-0.7968,-5.5542,27.7710,1.8921
2026-02-13T01:44:15.246413,194.070,99.00,-0.5159,-0.0405,-0.8042,-1.4648,25.7568,-1.4648
2026-02-13T01:44:15.396192,194.220,118.00,-0.6486,-0.0670,-0.8278,16.1743,22.4609,-9.0332
2026-02-13T01:44:15.546361,194.370,86.00,-0.6224,-0.4341,-0.8033,6.1035,16.1133,1.7700
2026-02-13T01:44:15.696244,194.520,75.00,-0.5941,-0.2727,-0.7037,-6.1035,9.0942,6.4697
2026-02-13T01:44:15.846256,194.670,48.00,-0.7208,-0.1602,-0.9836,-13.6719,-6.0425,7.5684
2026-02-13T01:44:15.996357,194.820,82.00,-0.6238,-0.0703,-0.8193,-0.2441,-22.1558,2.5635
2026-02-13T01:44:16.146305,194.970,68.00,-0.5656,-0.0171,-0.8412,-0.2441,-24.9023,2.0142
2026-02-13T01:44:16.296491,195.120,69.00,-0.4082,-0.0372,-0.8062,-0.5493,-22.7661,2.4414
2026-02-13T01:44:16.446401,195.270,72.00,-0.1370,0.0548,-0.3688,-9.0942,-40.2832,16.4185
2026-02-13T01:44:16.596335,195.420,69.00,-0.2595,-0.0464,-0.8124,-0.6104,41.7480,-2.4414
2026-02-13T01:44:16.746710,195.570,56.00,-0.5254,-0.0531,-0.8943,-7.7515,30.0293,6.5918
2026-02-13T01:44:16.896399,195.720,84.00,-0.5857,-0.0272,-0.6882,0.2441,36.8042,-0.9766
2026-02-13T01:44:17.046235,195.870,83.00,-0.4812,-0.3063,-0.7626,-6.8359,14.2212,10.9253
2026-02-13T01:44:17.196201,196.020,56.00,-0.5925,-0.0863,-0.6216,-8.9722,10.3149,4.1504
2026-02-13T01:44:17.346532,196.170,36.00,-0.7833,-0.1688,-1.1077,2.8687,-6.5308,1.9531
2026-02-13T01:44:17.496310,196.320,65.00,-0.6643,-0.0126,-0.8130,4.0894,-26.4893,-0.6714
2026-02-13T01:44:17.646501,196.470,101.00,-0.5844,-0.0334,-0.7831,7.4463,-25.1465,-0.6714
2026-02-13T01:44:17.796638,196.620,67.00,-0.4591,0.0236,-0.8636,1.7700,-20.4468,3.9062
2026-02-13T01:44:17.946404,196.770,82.00,-0.2689,0.0129,-0.7377,-2.7466,-28.1982,3.9673
2026-02-13T01:44:18.095938,196.920,62.00,-0.2393,0.0112,-0.7084,0.4272,25.9399,-3.7842
2026-02-13T01:44:18.246715,197.070,58.00,-0.4503,0.1490,-0.8198,-4.1504,25.6348,-5.9204
2026-02-13T01:44:18.396024,197.220,79.00,-0.5747,0.0825,-0.7722,11.9629,33.5693,-11.7187
2026-02-13T01:44:18.546256,197.370,76.00,-0.4888,-0.0511,-0.7919,3.2349,26.2451,-4.8218
2026-02-13T01:44:18.696346,197.520,75.00,-0.6315,0.1281,-0.8341,-3.1128,14.5874,0.6714
2026-02-13T01:44:18.846241,197.670,52.00,-0.6149,-0.0656,-0.7712,8.7891,11.9019,-6.2256
2026-02-13T01:44:18.996432,197.820,33.00,-0.8093,0.0383,-1.0687,-3.3569,-4.1504,-2.8076
2026-02-13T01:44:19.146331,197.970,53.00,-0.6577,-0.0835,-0.8667,4.2114,-25.3906,-2.0752
2026-02-13T01:44:19.296127,198.120,76.00,-0.5703,0.0410,-0.7715,3.6621,-23.3154,-5.3101
2026-02-13T01:44:19.446287,198.270,54.00,-0.3628,-0.0690,-0.7797,2.9907,-18.4937,-3.7231
2026-02-13T01:44:19.596293,198.420,68.00,-0.2178,0.0242,-0.2079,-15.7471,-30.8228,8.6670
2026-02-13T01:44:19.745891,198.570,49.00,-0.3615,0.0078,-0.8558,0.9155,21.4233,0.6714
2026-02-13T01:44:19.896313,198.720,80.00,-0.5570,0.1008,-0.9028,-4.0894,33.0200,-0.1221
2026-02-13T01:44:20.046430,198.870,67.00,-0.5891,0.1296,-0.9042,8.1787,27.2827,-11.9629
2026-02-13T01:44:20.196025,199.020,78.00,-0.6320,0.3220,-0.8934,4.4556,18.0054,-4.5166
2026-02-13T01:44:20.346104,199.170,46.00,-0.6355,-0.0568,-0.9738,7.2021,5.3711,-3.6011
2026-02-13T01:44:20.496300,199.320,30.00,-0.6842,0.0416,-0.9084,-2.1973,4.4556,1.5869
2026-02-13T01:44:20.646257,199.470,35.00,-0.7897,0.0353,-0.9325,-7.4463,-22.4609,-2.0142
2026-02-13T01:44:20.796129,199.620,85.00,-0.5657,0.0261,-0.7914,-2.6855,-25.6958,0.9155
2026-02-13T01:44:20.946222,199.770,71.00,-0.4297,-0.1639,-0.8356,-0.9155,-32.2266,5.1880
2026-02-13T01:44:21.096318,199.920,84.00,-0.1127,-0.0739,-0.7219,-12.3901,-36.4990,11.3525
2026-02-13T01:44:21.246478,200.070,77.00,-0.2778,-0.0397,-0.7026,1.7090,18.6157,-13.1226
2026-02-13T01:44:21.396131,200.220,76.00,-0.4983,-0.1937,-0.9434,12.3291,16.6626,-11.9629
2026-02-13T01:44:21.546350,200.370,86.00,-0.5609,-0.2146,-0.8218,7.0801,27.5269,-4.1504
2026-02-13T01:44:21.696245,200.520,85.00,-0.6001,-0.1082,-0.8234,14.3433,29.7852,-9.8267
2026-02-13T01:44:21.846252,200.670,39.00,-0.5793,-0.4165,-0.8260,-4.5776,0.3662,7.1411
2026-02-13T01:44:21.996233,200.820,21.00,-0.7330,-0.0070,-0.9272,-3.2349,-1.1597,1.8921
2026-02-13T01:44:22.146172,200.970,72.00,-0.6119,-0.1556,-0.8788,4.0283,-11.8408,4.1504
2026-02-13T01:44:22.296376,201.120,98.00,-0.4954,-0.0653,-0.8706,1.4038,-29.5410,8.3618
2026-02-13T01:44:22.446427,201.270,89.00,-0.4075,-0.0906,-0.8060,-0.1831,-19.1040,7.7515
2026-02-13T01:44:22.596397,201.420,88.00,-0.2133,-0.0094,-0.4681,-3.6011,-22.2168,8.5449
2026-02-13T01:44:22.746480,201.570,62.00,-0.3218,-0.0839,-0.7660,-8.0566,27.4048,-5.3711
2026-02-13T01:44:22.896708,201.720,90.00,-0.5255,0.1808,-0.8250,-16.6016,25.3296,-4.5776
2026-02-13T01:44:23.046380,201.870,88.00,-0.5586,-0.2153,-0.9307,7.8125,16.1133,-12.8174
